NTF_Links,Price
https://lh3.googleusercontent.com/558_JvGwHaYurctTbX3gYRvqboXf27YPznJYMlztTDM_2rtTESAGHpQwnYlqNnRYFu40-eB2r51Sm_8Cun2UOQ5VwG3bi51a04i2bnM=w600,"($3,337.75)"
https://lh3.googleusercontent.com/4DoPI1Lsn0B4QIyehnGqyVDVz-jxaUGTI4ex8ipFGHhThdUj28u3sNYS7FmdGdJOXeoc0OsJDKonOmaoBDyAAFTfZD-9byMvThcgsA=w600,($32.41)
https://lh3.googleusercontent.com/dyxAmiz1TDldUkN5UggmL1GxrUJ2iCfe-ZlAMOJG9F9Z1UPzkf525wvrMHw_i5ufPyDVSfiLwkqr8jH1PF91tuEuaJgybpaL5vg9gQ=w600,($194.43)
https://lh3.googleusercontent.com/qMoU3UWuok-PSFDCx7kUUeE5TwrBiDwsmoKgtFD1Bus3oOTipmJz20WI2wuuD65q_kjs_0ZGuKyNkENfDj9OAkDa8IunWMDy6aFu=w600,($129.62)
https://lh3.googleusercontent.com/2Oy5rhxf1KemlX5WXTQJYKvt2GX3wZQAzrn6M6qoRaIYSDWL34xxZ2R113AMB06zGDmNCvJn6XqR-UnW8BLkZN65JzVY1jKHTya7HA=w600,($61.57)
https://lh3.googleusercontent.com/VNGS-6sCmAnrwz09PRWlGCo115XWOzCMpNaFSKi_O069WHBDeJ2zbW_MLF3wZegtPTamFDZhu7kqvnmX4H6d1epsp1CcYz-Y4KBzqQ=w600,($97.22)
https://lh3.googleusercontent.com/_dk5ZHyh-fTYaDrmZW8UCXlJjnuh-guntEgiYVPE2lCA0ab4BR51OfrnWLV4FxJT6t89KxOxP41NI1SN11DodZfF24Sb2yq8hmfT=w600,($32.41)
https://lh3.googleusercontent.com/VzPggRM6AzZg0IdSlvKdjjJnfKZXtv3b4EV2ZjamxnpR4sn_Xo2pVo9h-q85ZftngwX86_sFz3NUx0OvFSFf1_thE79JN-ug2W7kfQ=w600,($126.38)
https://lh3.googleusercontent.com/R3rOaVMAlnNr9JmBppiu9Z1_hITX9iwKGOwTsTghslkx__td1o5I1HLgPrdtQbXP16ZeAz_JLoSvRkhRcPqco9nOn9NXbSU9Pm4SKg=w600,($162.03)
https://lh3.googleusercontent.com/rkpSptGHHV15xVTSt39z_lALwKWiV3bFfO56cz5v1_pA6PBixAL11aHVJ_mXcy6LoFCUhwcp84wQDdIlJ5zptAd6acK0_cqrzIfz=w600,($48.61)
